t CPU GPU
139740.771758770 0 0
139740.776952448 0 0
139740.782147661 0 0
139740.787340891 0 0
139740.792438985 0 0
139740.797536598 0 0
139740.802739524 0 0
139740.807834065 0 0
139740.812931711 0 0
139740.818156877 0 0
139740.823249626 0 0
139740.828402952 0 0
139740.833639574 0 0
139740.838814371 0 0
139740.843944177 0 0
139740.849085918 0 0
139740.854216012 0 0
139740.859320729 0 0
139740.864431975 0 0
139740.869533940 0 0
139740.874666018 0 0
139740.879764527 0 0
139740.884933597 0 0
139740.890092267 0 0
139740.895182872 0 0
139740.900296230 0 0
139740.905376723 0 0
139740.910461633 0 0
139740.915542734 0 0
139740.920627644 0 0
139740.925755241 0 0
139740.930847863 0 0
139740.936040260 0 0
139740.941135538 0 0
139740.946237023 0 0
139740.951346157 0 0
139740.956468730 0 0
139740.961615720 0 0
139740.966797686 0 0
139740.971885571 0 0
139740.977082065 0 0
139740.982176702 0 0
139740.987266700 0 0
139740.992445433 0 0
139740.997547399 0 0
139741.2644052 0 0
139741.7810242 0 0
139741.12908175 0 0
139741.18003229 0 0
139741.23169323 0 0
139741.28276120 0 0
139741.33366694 0 0
139741.38464659 0 0
139741.43556672 0 0
139741.48644302 0 0
139741.53726747 0 0
139741.58819913 0 0
139741.63979222 0 0
139741.69089380 0 0
139741.74188849 0 0
139741.79282463 0 0
139741.84378348 0 0
139741.89585530 0 0
139741.94676904 0 0
139741.99766421 0 0
139741.104863587 0 0
139741.109954704 0 0
139741.115039773 0 0
139741.120120843 0 0
139741.125201816 0 0
139741.130292102 0 0
139741.135450323 0 0
139741.140534657 0 0
139741.145625550 0 0
139741.150721756 0 0
139741.155815305 0 0
139741.160906455 0 0
139741.165994628 0 0
139741.171084498 0 0
139741.176178079 0 0
139741.181354061 0 0
139741.186440634 0 0
139741.191526088 0 0
139741.196611125 0 0
139741.201697987 0 0
139741.206782512 0 0
139741.211858589 0 0
139741.216941291 0 0
139741.222123673 0 0
139741.227245222 0 0
139741.232332948 0 0
139741.237424577 0 0
139741.242514926 0 0
139741.247605916 0 0
139741.252691113 0 0
139741.257781815 0 0
139741.262870692 0 0
139741.267959634 0 0
139741.273160128 0 0
139741.278248365 0 0
139741.283332922 0 0
139741.288416712 0 0
139741.293497589 0 0
139741.298576291 0 0
139741.303655504 0 0
139741.308738078 0 0
139741.313834283 0 0
139741.318929049 0 0
139741.324044102 0 0
139741.329136148 0 0
139741.334222849 0 0
139741.339314030 0 0
139741.344410076 0 0
139741.349504585 0 0
139741.354589623 0 0
139741.359669700 0 0
139741.364768786 0 0
139741.369852319 0 0
139741.374934605 0 0
139741.380035162 0 0
139741.385147592 0 0
139741.390234325 0 0
139741.395350659 0 0
139741.400431440 0 0
139741.405515421 0 0
139741.410610923 0 0
139741.415695096 0 0
139741.420856070 0 0
139741.425934707 0 0
139741.431011777 0 0
139741.436103726 0 0
139741.441184956 0 0
139741.446262185 0 0
139741.451352151 0 0
139741.456435204 0 0
139741.461518161 0 0
139741.466596351 0 0
139741.471712460 0 0
139741.476804730 0 0
139741.481895399 0 0
139741.486979509 0 0
139741.492079842 0 0
139741.497160240 0 0
139741.502242621 0 0
139741.507323371 0 0
139741.512403512 0 0
139741.517491525 0 0
139741.522571507 0 0
139741.527650880 0 0
139741.532727438 0 0
139741.537803451 0 0
139741.542891209 0 0
139741.547971478 0 0
139741.553048931 0 0
139741.558130545 0 0
139741.563209278 0 0
139741.568287916 0 0
139741.573367225 0 0
139741.578446983 0 0
139741.583526452 0 0
139741.588608834 0 0
139741.593696655 0 0
139741.598775484 0 0
139741.603856298 0 0
139741.608937975 0 0
139741.614014565 0 0
139741.619093074 0 0
139741.624173888 0 0
139741.629274477 0 0
139741.634355803 0 0
139741.639434568 0 0
139741.644513429 0 0
139741.649592035 0 0
139741.654666192 0 0
139741.659743070 0 0
139741.664818891 0 0
139741.669894168 0 0
139741.674971654 0 0
139741.680186996 0 0
139741.685297761 0 0
139741.690385647 0 0
139741.695466204 0 0
139741.700587754 0 0
139741.705675895 0 0
139741.710758597 0 0
139741.715844818 0 0
139741.720970592 0 0
139741.726202829 0 0
139741.731299291 0 0
139741.736394568 0 0
139741.741499766 0 0
139741.746583395 0 0
139741.751754481 0 0
139741.756840542 0 0
139741.761923052 0 0
139741.767003545 0 0
139741.772084935 0 0
139741.777168308 0 0
139741.782340002 0 0
139741.787422575 0 0
139741.792503229 0 0
139741.797584234 0 0
139741.802662552 0 0
139741.807815589 0 0
139741.812897011 0 0
139741.817976192 0 0
139741.823054638 0 0
139741.828136123 0 0
139741.833215656 0 0
139741.838292630 0 0
139741.843451619 0 0
139741.848748977 0 0
139741.853982527 0 0
139741.859196269 0 0
139741.864299291 0 0
139741.869478600 0 0
139741.874583830 0 0
139741.879672195 0 0
139741.884779665 0 0
139741.889931422 0 0
139741.895053452 0 0
139741.900254714 0 0
139741.905352295 0 0
139741.910451221 0 0
139741.915548802 0 0
139741.920722128 0 0
139741.925803773 0 0
139741.930898635 0 0
139741.935989304 0 0
139741.941225574 0 0
139741.946328403 0 0
139741.951432449 0 0
139741.956533198 0 0
139741.961627580 0 0
139741.966718057 0 0
139741.971902039 0 0
139741.976989477 0 0
139741.982076754 0 0
139741.987167679 0 0
139741.992302957 0 0
139741.997395355 0 0
139742.2557256 0 0
139742.7646326 0 0
139742.12734403 0 0
139742.17823441 0 0
139742.22916862 0 0
139742.28022604 0 0
139742.33113689 0 0
139742.38203366 0 0
139742.43350068 0 0
139742.48445922 0 0
139742.53538287 0 0
139742.58625212 0 0
139742.63712234 0 0
139742.68837559 0 0
139742.73934565 0 0
139742.79024946 0 0
139742.84116032 0 0
139742.89205165 0 0
139742.94295355 0 0
139742.99385128 0 0
139742.104530582 0 0
139742.109643491 0 0
139742.114732721 0 0
139742.119819134 0 0
139742.124906220 0 0
139742.129991321 0 0
139742.135085127 0 0
139742.140172596 0 0
139742.145257922 0 0
139742.150342127 0 0
139742.155431900 0 0
139742.160520106 0 0
139742.165612407 0 0
139742.170697957 0 0
139742.175838386 0 0
139742.180926720 0 0
139742.186012941 0 0
139742.191099259 0 0
139742.196186888 0 0
139742.201275126 0 0
139742.206360163 0 0
139742.211445937 0 0
139742.216534558 0 0
139742.221620427 0 0
139742.226704313 0 0
139742.231786918 0 0
139742.236874868 0 0
139742.241962817 0 0
139742.247092815 0 0
139742.252180124 0 0
139742.257271722 0 0
139742.262358039 0 0
139742.267440421 0 0
139742.272527122 0 0
139742.277618496 0 0
139742.282703085 0 0
139742.287788762 0 0
139742.292879016 0 0
139742.297966677 0 0
139742.303052419 0 0
139742.308140688 0 0
139742.313263006 0 0
139742.318347179 0 0
139742.323498201 0 0
139742.328584230 0 0
139742.333669940 0 0
139742.338765153 0 0
139742.343850895 0 0
139742.348941308 0 0
139742.354028426 0 0
139742.359114519 0 0
139742.364203749 0 0
139742.369291026 0 0
139742.374376415 0 0
139742.379458381 0 0
139742.384548570 0 0
139742.389632424 0 0
139742.394714101 0 0
139742.399795875 0 0
139742.404877936 0 0
139742.409962622 0 0
139742.415097515 0 0
139742.420247001 0 0
139742.425351046 0 0
139742.430451508 0 0
139742.435545985 0 0
139742.440634799 0 0
139742.445729308 0 0
139742.450816394 0 0
139742.455909175 0 0
139742.460996612 0 0
139742.466083762 0 0
139742.471170495 0 0
139742.476261901 0 0
139742.481347610 0 0
139742.486473576 0 0
139742.491555221 0 0
139742.496647139 0 0
139742.501744848 0 0
139742.506838398 0 0
139742.511925707 0 0
139742.517015385 0 0
139742.522140102 0 0
139742.527233972 0 0
139742.532327009 0 0
139742.537417231 0 0
139742.542500828 0 0
139742.547586506 0 0
139742.552675895 0 0
139742.557762308 0 0
139742.562847762 0 0
139742.567931295 0 0
139742.573017517 0 0
139742.578111034 0 0
139742.583201960 0 0
139742.588292693 0 0
139742.593383683 0 0
139742.598471792 0 0
139742.603558238 0 0
139742.608679947 0 0
139742.613772345 0 0
139742.618856038 0 0
139742.623941651 0 0
139742.629031745 0 0
139742.634116494 0 0
139742.639201340 0 0
139742.644287625 0 0
139742.649374103 0 0
139742.654461252 0 0
139742.659546930 0 0
139742.664640639 0 0
139742.669729581 0 0
139742.674820314 0 0
139742.679928712 0 0
139742.685015061 0 0
139742.690100386 0 0
139742.695184976 0 0
139742.700273917 0 0
139742.705386347 0 0
139742.710472152 0 0
139742.715559654 0 0
139742.720648915 0 0
139742.725730945 0 0
139742.730817614 0 0
139742.735905596 0 0
139742.740989513 0 0
139742.746067447 0 0
139742.751156388 0 0
139742.756245841 0 0
139742.761332735 0 0
139742.766420012 0 0
139742.772252924 0 0
139742.777341289 0 0
139742.782434583 0 0
139742.787518628 0 0
139742.792607634 0 0
139742.797701535 0 0
139742.802789357 0 0
139742.807879962 0 0
139742.812970503 0 0
139742.818054677 0 0
139742.823176738 0 0
139742.828280560 0 0
139742.833386109 0 0
139742.838478731 0 0
139742.843566808 0 0
139742.848673446 0 0
139742.853829684 0 0
139742.858906913 0 0
139742.863990574 0 0
139742.869064540 0 0
139742.874155849 0 0
139742.879245815 0 0
139742.884336100 0 0
139742.889467026 0 0
139742.894575167 0 0
139742.899660749 0 0
139742.904735962 0 0
139742.909820104 0 0
139742.914908469 0 0
139742.919999523 0 0
139742.925151952 0 0
139742.930241214 0 0
139742.935328491 0 0
139742.940418329 0 0
139742.945546342 0 0
139742.950794100 0 0
139742.955996450 0 0
139742.961166607 0 0
139742.966350877 0 0
139742.971439083 0 0
139742.976532856 0 0
139742.981620966 0 0
139742.986799411 0 0
139742.992132577 0 0
139742.997238191 0 0
139743.2437309 0 0
139743.7537194 0 0
139743.12629624 0 0
139743.17720005 0 0
139743.22876435 0 0
139743.27962176 0 0
139743.33050734 0 0
139743.38137019 0 0
139743.43220456 0 0
139743.48372406 0 0
139743.53466244 0 0
139743.58549937 0 0
139743.63632542 0 0
139743.68720044 0 0
139743.73801785 0 0
139743.78883015 0 0
139743.83967764 0 0
139743.89068834 0 0
139743.94237295 0 0
139743.99326813 0 0
139743.104416554 0 0
139743.109502392 0 0
139743.114587301 0 0
139743.119670899 0 0
139743.124765952 0 0
139743.129910702 0 0
139743.134998107 0 0
139743.140085833 0 0
139743.145173046 0 0
139743.150254372 0 0
139743.155335057 0 0
139743.160425791 0 0
139743.165595820 0 0
139743.170701914 0 0
139743.175793319 0 0
139743.180888437 0 0
139743.185982946 0 0
139743.191077040 0 0
139743.196186845 0 0
139743.201276267 0 0
139743.206364312 0 0
139743.211448517 0 0
139743.216534707 0 0
139743.221624320 0 0
139743.226718734 0 0
139743.231813755 0 0
139743.236906121 0 0
139743.241996310 0 0
139743.247088548 0 0
139743.252189201 0 0
139743.257454015 0 0
139743.262663341 0 0
139743.267792027 0 0
139743.272873352 0 0
139743.277953301 0 0
139743.283032963 0 0
139743.288134448 0 0
139743.293243742 0 0
139743.298343499 0 0
139743.303556569 0 0
139743.308642311 0 0
139743.313796916 0 0
139743.318941602 0 0
139743.324051055 0 0
139743.329140125 0 0
139743.334220586 0 0
139743.339317944 0 0
139743.344417733 0 0
139743.349504051 0 0
139743.354589856 0 0
139743.359670702 0 0
139743.364749723 0 0
139743.369828200 0 0
139743.374902902 0 0
139743.380096996 0 0
139743.385185169 0 0
139743.390263838 0 0
139743.395341612 0 0
139743.400424889 0 0
139743.405507079 0 0
139743.410589204 0 0
139743.415675234 0 0
139743.420782255 0 0
139743.425908253 0 0
139743.430987786 0 0
139743.436069688 0 0
139743.441151653 0 0
139743.446229266 0 0
139743.451316288 0 0
139743.456434221 0 0
139743.461531707 0 0
139743.466671657 0 0
139743.471750902 0 0
139743.476833219 0 0
139743.481916657 0 0
139743.486995294 0 0
139743.492109004 0 0
139743.497200633 0 0
